Epochs,val_mean_absolute_error,val_mean_squared_error,val_loss,acc
1.0,0.6107220904454173,0.572037884642958,0.6107220904454173,0.6107220904454173
2.0,0.40032856657518356,0.27506018267663496,0.40032856657518356,0.40032856657518356
3.0,0.3093559302431245,0.1758215973497103,0.3093559302431245,0.3093559302431245
4.0,0.26200014952174777,0.12923943763338655,0.26200014952174777,0.26200014952174777
5.0,0.24160889307213895,0.11028908784163065,0.24160889307213895,0.24160889307213895
6.0,0.20826153681930884,0.08383382115950132,0.20826153681930884,0.20826153681930884
7.0,0.1898879795101102,0.07259853525534689,0.1898879795101102,0.1898879795101102
8.0,0.17817774048730647,0.0635995423660598,0.17817774048730647,0.17817774048730647
9.0,0.16814666087400978,0.057382746948210224,0.16814666087400978,0.16814666087400978
10.0,0.17035510087146438,0.057542828874215066,0.17035510087146438,0.17035510087146438
