Epochs,val_class_mae,val_class_percent_2buckRange,val_class_mse,acc
1.0,0.6984685747908413,0.2019302152324006,0.6645060671906872,0.04305864828787385
2.0,0.6944690318397885,0.2100965119040977,0.6587125395701917,0.045285819730297584
3.0,0.69353192748188,0.21158129113443533,0.6574129482375841,0.046028210211105494
4.0,0.6918859125157153,0.2019302150941196,0.6547565944962972,0.04454342911120866
5.0,0.6886783043100998,0.20786933977026895,0.6507063729725862,0.04380103890696276
6.0,0.6869780793398862,0.20786934170620303,0.6485263092834682,0.046770600830194416
7.0,0.6898136641152629,0.2115812921743085,0.6516730933828361,0.04825538179181024
8.0,0.6881730615340433,0.20861173011279585,0.6492367766039763,0.04677060096847542
9.0,0.6854947012003564,0.21455085299682333,0.6455991704240939,0.04899777199605614
10.0,0.6852306645714803,0.21826280629139258,0.6455178893798356,0.05122494371504189
11.0,0.6802423746831876,0.21455085444047703,0.6384252966910534,0.04974016275342606
12.0,0.6814619570461661,0.22345954090157702,0.6399943036509163,0.05122494385332289
13.0,0.6782125724008018,0.22865627302270336,0.6353281815581262,0.05345211501918462
14.0,0.6765755129993272,0.22791388295673845,0.6330789005924528,0.05122494343847988
15.0,0.6770247146653173,0.2308834446034081,0.6336057422200042,0.05196733433413081
16.0,0.67499127663235,0.24350408235676835,0.6308285457033003,0.05493689631544048
17.0,0.6746057183457553,0.24201930091393464,0.6303784775795898,0.05270972473473574
18.0,0.6738577558981903,0.2538975516490434,0.629024769212019,0.05790645823867213
19.0,0.6700699461240988,0.24647364276444017,0.6244058208768246,0.05790645818059411
20.0,0.6711089666808369,0.2590942845279496,0.6255379848198795,0.05716406756150519
21.0,0.6657812106848294,0.2620638461801505,0.61845635998311,0.056421677087611324
22.0,0.6674556506060634,0.26280623568746014,0.6207058576185259,0.05642167708069728
23.0,0.6643123309879544,0.26577579823019065,0.6164549879215342,0.058648848523121015
24.0,0.6635234546643677,0.2776540468910843,0.6155270720599046,0.06310319132776551
25.0,0.6599314876105401,0.2761692641318154,0.6107703461280645,0.06384558194685443
26.0,0.6615494232577753,0.28507795218038134,0.6131713362251642,0.06829992496998291
27.0,0.6593821430170899,0.28359316915008165,0.6104501161251408,0.06458797264614632
28.0,0.6591343738984955,0.3036377148256093,0.6095921419776628,0.06978470606987974
29.0,0.6570344550926418,0.3073496684022718,0.607055228488394,0.07126948772290059
30.0,0.6541171264188238,0.30957683866654134,0.6031319544593228,0.07275426880067246
31.0,0.6540648002666991,0.3140311780943637,0.6027620550695842,0.07201187757867836
32.0,0.653594115927384,0.3244246486975426,0.602223866810689,0.07423904874454008
33.0,0.649663160178249,0.3363028950795653,0.5970260860217264,0.07498143943553512
34.0,0.6497836431133013,0.32590942820997354,0.5972337324971523,0.07646622067371296
35.0,0.6499809391779995,0.3273942082036223,0.5974399216456509,0.0727542681313924
36.0,0.64816032397632,0.3355605059096613,0.5951247690957656,0.07869339190594957
37.0,0.6470063812837127,0.34595397174491116,0.5933810574705722,0.08314773548220207
38.0,0.6437707924807434,0.340757240110534,0.5890696532388219,0.08389012568644798
39.0,0.6437097657319786,0.3489235366439501,0.5888215591930511,0.08463251589069387
40.0,0.6442964843404496,0.36154417219034546,0.5896773173708162,0.0853749065097828
41.0,0.6422706067606353,0.3630289509394652,0.5871594588492832,0.08537490609493978
42.0,0.6418555220499159,0.3801039327558271,0.5866584271834174,0.08389012499504295
43.0,0.6386848289433814,0.37490719918551585,0.5825366520757753,0.0898292502243163
44.0,0.6379396042384833,0.3838158839817125,0.5816088974166111,0.08982924972097345
45.0,0.6368382519142842,0.3971789131893789,0.580200953800411,0.08982924930613043
46.0,0.6347209147904304,0.4031180391819635,0.5774961516161539,0.09502598262200465
47.0,0.6314694294685245,0.3994060853232077,0.5731961726478585,0.09354120171017
48.0,0.630269979271255,0.4127691131480641,0.571845782427055,0.093541201848451
49.0,0.6310469154171706,0.406829994279717,0.5725374353887774,0.09502598281006681
50.0,0.6289449316002125,0.4224201931321541,0.5700238074695259,0.10244988817126997
