Epochs,val_class_mae,val_class_percent_2buckRange,val_class_mse,acc
1.0,0.19808691204464934,0.758626479684591,0.11308092368423724,0.22181177056338142
2.0,0.19876682729932646,0.7568634037716885,0.11636969551222619,0.2246662748544525
3.0,0.19819205170684173,0.7556880192325894,0.112508582087155,0.21853748627332903
4.0,0.20219787734224998,0.7554361516517992,0.11728095143580555,0.21887331030153825
5.0,0.19817386845574153,0.7599697755772444,0.11233431707663256,0.2181177062380675
6.0,0.19929392759675454,0.7575350513877401,0.11666567862939599,0.22500209886764921
7.0,0.1984904582762576,0.7583746116484216,0.11481177337150532,0.2229031986913416
8.0,0.19997014476754346,0.7528335149777985,0.11580780784285706,0.2222315506862159
9.0,0.2009364740280168,0.7530014272120865,0.1160104750452219,0.22063638650092937
10.0,0.19826049593911946,0.7563596674941787,0.11209750398974727,0.21652254217037895
11.0,0.19938504956609485,0.754092855288754,0.11544573099989903,0.22206363856952582
12.0,0.19685050562786002,0.7616488959534864,0.11113267584893317,0.22349089080701295
13.0,0.20010317919581777,0.7556040636508914,0.11568928232406972,0.21803375028230793
14.0,0.2002059210984135,0.7545965915662637,0.11335284803595934,0.21954495843927443
15.0,0.19951794951486104,0.7594660395499431,0.11851107009238734,0.22181177054836893
16.0,0.19956402814255164,0.7530853832191389,0.11417970527190224,0.21996473852582868
17.0,0.19584787782053634,0.7586264796695784,0.10782118466296552,0.222735286677237
18.0,0.19882441990827496,0.7545965911258969,0.11477218398558645,0.22122407855029552
19.0,0.19844578362669196,0.759214171969153,0.1151215055821855,0.22206363856952582
20.0,0.20504409267443793,0.7524137351477079,0.12206128684064321,0.21526320199828916
21.0,0.1983174477080616,0.7587104354864723,0.11167402886496654,0.22105616663877634
22.0,0.1982811600215068,0.7580387878854332,0.11301715720619125,0.22382671478392946
23.0,0.2004103256259234,0.7548484595874206,0.11469043576114875,0.21962891441630172
24.0,0.19895418976248186,0.7563596677443871,0.11447798066456086,0.22080429846374128
25.0,0.1988925952553479,0.7551842836456548,0.11290205179539067,0.22181177059966165
26.0,0.19882932028355302,0.7553521956597594,0.11442817248927586,0.2191251783739879
27.0,0.19915552645979256,0.7550163713663294,0.11434242109058987,0.223155066727511
28.0,0.20032602475663494,0.7507346152868952,0.11932517862617194,0.21811770625933524
29.0,0.1971577886117014,0.7555201074536807,0.11364000671762191,0.22298715469839392
