Epochs,val_class_mae,val_class_mse,val_class_percent_2buckRange,acc
1.0,0.2573883650675397,0.19606735390366178,0.6853328855679623,0.17647552682394424
2.0,0.2570722923902528,0.19523535320434748,0.685500797582067,0.1769792628662581
3.0,0.2541069380032627,0.195890008427416,0.6885232138359499,0.17865838300730416
4.0,0.25575188352523026,0.1971977710368581,0.6839056334480732,0.1753840987322643
5.0,0.25742619827385965,0.1966234337932246,0.6840735454621778,0.17571992276047352
6.0,0.2552541405345359,0.19516078406813042,0.6840735454621778,0.17437662664763665
7.0,0.2557826693517797,0.19493899583296095,0.6844933254974394,0.17857442700025186
8.0,0.25974623765225635,0.19525160325153,0.6822265133070271,0.17513223071110737
9.0,0.2576058589434325,0.1956824437865942,0.6840735454621778,0.1755520107463689
10.0,0.2542011859324685,0.1951752003854973,0.6883553018218453,0.17756695491562421
11.0,0.25531630568696095,0.19566923407921413,0.6848291495256486,0.17966585509193184
12.0,0.257765870677385,0.19550405038002605,0.6842414574762824,0.17664343883804887
13.0,0.25636396487347074,0.19479469237494915,0.6839895894551256,0.1735370665771136
14.0,0.2544181148828342,0.19392389823953848,0.6866761816807992,0.1771471748803627
15.0,0.2549540583457447,0.19488818938621455,0.6855847535891193,0.175300142725212
16.0,0.25319143658860904,0.19520187217295895,0.6852489295609101,0.17798673495088574
17.0,0.25423321864755277,0.19529480641549365,0.6875157417513224,0.18000167912014103
18.0,0.259475137202388,0.19636560910325157,0.6822265133070271,0.17739904290151962
19.0,0.2531632551862875,0.1940674964101156,0.6862564016455377,0.1788262950214088
20.0,0.25641126105651457,0.19534330729443003,0.6842414574762824,0.1773150868944673
21.0,0.2532320594209116,0.1947037004626835,0.6869280497019562,0.17849047099319956
22.0,0.2542803699349128,0.1952525416756445,0.6899504659558391,0.17807069095793804
23.0,0.25387220266693816,0.19441921604279155,0.6881873898077407,0.18016959113424566
24.0,0.25436107841459593,0.19385841359730663,0.6880194777936361,0.17630761480983964
25.0,0.2527345117128683,0.1933652549123856,0.6874317857480231,0.177231130887415
26.0,0.25358739136228353,0.1941336587167749,0.6873478297372178,0.1769792628662581
27.0,0.25543044253166675,0.19492821677256947,0.686592225673747,0.18033750314835026
28.0,0.25389157533495504,0.19328968040379277,0.6884392578288977,0.17647552682394424
29.0,0.25377988804298446,0.1936672488509753,0.6877676097724792,0.1810091512047687
30.0,0.2609847813667033,0.19535376418898923,0.6808832171941902,0.175300142725212
31.0,0.2557593126854862,0.19449739260864082,0.6854168415787678,0.17840651498614726
32.0,0.25447781317560914,0.19328553002193508,0.6881873898077407,0.17781882293678114
33.0,0.259078456351463,0.19355636774047416,0.6824783813281841,0.17513223071110737
34.0,0.25459155552924284,0.1936968407881329,0.6875157417513224,0.17630761480983964
35.0,0.2548826271306056,0.19274827140863432,0.6863403576563432,0.17613970279573504
36.0,0.25613076746558855,0.19395606812387117,0.6872638737301654,0.17865838300730416
37.0,0.25479404044415527,0.19280128676768624,0.6870959617160608,0.17781882293678114
38.0,0.2532048079156023,0.1927294170748386,0.6901183779736969,0.17454453866174124
39.0,0.25590321094600854,0.19247597899597885,0.6841575014729833,0.1770632188733104
40.0,0.25657537191213003,0.19295898085626925,0.6854168415787678,0.1755520107463689
41.0,0.2537026100130268,0.19361977202497374,0.6861724456384855,0.1793300310637226
42.0,0.254162120890151,0.19308347718690247,0.6880194777936361,0.1794979430778272
43.0,0.25221880696180354,0.19262557174945075,0.6897825539417345,0.17849047099319956
44.0,0.2527079802622934,0.19204763397443064,0.6863403576563432,0.17479640668289817
45.0,0.25834546268021324,0.1939611042434608,0.6838216774447741,0.18016959113424566
46.0,0.25441555773298125,0.19224006356174944,0.6875996977583746,0.1773150868944673
47.0,0.25471780296087004,0.19164608990542584,0.6861724456384855,0.17798673495088574
48.0,0.2550953147758836,0.1924449366607831,0.6860045336243809,0.17756695491562421
49.0,0.25321796929022594,0.19168288864513738,0.6878515657795315,0.17681135085215346
50.0,0.2523216643118056,0.19304501076817923,0.6826462933460418,0.17563596675342122
51.0,0.25402905562494255,0.19206429271201184,0.6881034338006884,0.1792460750566703
52.0,0.25479271885089877,0.1926742807992729,0.6890269498782637,0.1770632188733104
53.0,0.25186310190466304,0.19105532849208304,0.6876836537691801,0.1787423390143565
54.0,0.2543081838311381,0.1915302988729452,0.6894467299135253,0.1787423390143565
55.0,0.2545410213417615,0.19181256530297092,0.6883553018255985,0.1776509109226765
56.0,0.2559096442893474,0.19216322501033392,0.684913105536454,0.17790277894383344
57.0,0.2536529028118432,0.1904215077545809,0.689614641931383,0.1769792628662581
58.0,0.25175223437297173,0.19235948031409622,0.6886071698467554,0.179162119049618
59.0,0.25501057948976885,0.19209042439461954,0.6868440936949038,0.17983376710603644
60.0,0.25525446462196866,0.19090964731907087,0.6870959617198139,0.1794139870707749
61.0,0.2535291864183205,0.19118925519978786,0.687683653765427,0.1792460750566703
62.0,0.25371442839907377,0.1910703271094482,0.6875157417513224,0.18058937116950718
63.0,0.2545224712788934,0.19157331701280209,0.6870120057090084,0.1795818990848795
64.0,0.2561929952576863,0.19143805533569971,0.6870120057090084,0.17832255897909496
65.0,0.25225586806754,0.19116801657761567,0.6894467299172784,0.18000167912014103
66.0,0.252319152367104,0.1916025507516159,0.6845772815082448,0.17588783477457812
67.0,0.2532536909753575,0.1916414645079271,0.6889429938712115,0.1770632188733104
68.0,0.2516110601412961,0.19092606533615566,0.6888590378679124,0.1769792628662581
69.0,0.25358906719558694,0.191655519076493,0.690202333976996,0.17588783477457812
70.0,0.25288007311111993,0.19114016771226452,0.6899504659558391,0.17622365880278734
71.0,0.2563717083154923,0.19043363821555542,0.6837377214377217,0.17664343883804887
72.0,0.25590956066469633,0.1915276556714197,0.6855847535928724,0.17630761480983964
73.0,0.2523093208609315,0.19028410557715342,0.6878515657832847,0.17748299890857192
74.0,0.25510391547191297,0.19092932568170112,0.6880194777973893,0.17655948283099657
75.0,0.25176285378289015,0.19149627346814746,0.6874317857480231,0.177231130887415
76.0,0.2531524376313339,0.1902287172316384,0.6889429938749646,0.17781882293678114
77.0,0.2520846893976341,0.19074669537621514,0.6904542020019061,0.17907816304256569
78.0,0.25544351010316163,0.18999910226507558,0.6872638737339185,0.17630761480983964
79.0,0.25351852880408166,0.1903898425405887,0.6870120057090084,0.17748299890857192
80.0,0.25209968660632603,0.19022310627576697,0.6886071698467554,0.17849047099319956
81.0,0.2513081483582327,0.1907418963616105,0.6896985979384354,0.17966585509193184
82.0,0.25259233203125225,0.18899268193895877,0.6888590378679124,0.18000167912014103
83.0,0.2524271688316383,0.18996233843694194,0.6897825539454877,0.18033750314835026
84.0,0.2539779406662362,0.19023754458395004,0.6845772815082448,0.17613970279573504
85.0,0.2569039399167891,0.1905122036327794,0.6889429938749646,0.17739904290151962
86.0,0.2523239927286466,0.18822204623812042,0.6872638737339185,0.18016959113424566
87.0,0.25371609569276454,0.1887113671015156,0.6870959617198139,0.17798673495088574
88.0,0.2526030083035314,0.18823232230706977,0.6886071698467554,0.17798673495088574
89.0,0.25413115037227196,0.1889267836672144,0.688523213839703,0.17756695491562421
90.0,0.25313685241288797,0.1895212624667724,0.689362773906473,0.1810091512047687
91.0,0.25399894613421403,0.18842719120108983,0.6871799177268663,0.17815464696499034
92.0,0.25357312608321664,0.18858594654109034,0.6872638737301654,0.18008563512719336
93.0,0.25246270310317287,0.1887233803974032,0.6884392578326508,0.18193266728234406
94.0,0.25112398114265255,0.1890166345441104,0.6904542020019061,0.17756695491562421
95.0,0.2524711714564738,0.1886043547382984,0.6891109058890692,0.17664343883804887
96.0,0.25349552833446476,0.188106674099537,0.6875996977621277,0.1770632188733104
97.0,0.25304886785294944,0.18802050586491786,0.6873478297409709,0.1794979430778272
98.0,0.2512335114205437,0.18866252219854118,0.6909579380442199,0.17865838300730416
99.0,0.2534008649642377,0.18795205936324996,0.6870959617198139,0.1793300310637226
100.0,0.25298952335485053,0.1882332004684914,0.6891109058890692,0.18025354714129796
101.0,0.25430882040384023,0.18729966340192308,0.6863403576563432,0.17781882293678114
102.0,0.2517455237311707,0.18869274200365072,0.6903702459948537,0.1788262950214088
103.0,0.25146364450614844,0.1874275293666283,0.6895306859243308,0.1788262950214088
104.0,0.2539728813172988,0.18730721258714791,0.6848291495294017,0.18067332717655948
105.0,0.2524539879042739,0.18768955963192974,0.6889429938749646,0.1812610192259256
106.0,0.2525761356037296,0.18749450574132578,0.6875157417550755,0.17857442700025186
107.0,0.2524282945142206,0.18899075725839015,0.6896985979346822,0.18142893124003023
108.0,0.2547995021682314,0.18802884207065296,0.6870959617198139,0.17983376710603644
109.0,0.25305398852546335,0.1874113908823667,0.686844093698657,0.17781882293678114
110.0,0.253207427052084,0.18714157300075088,0.689026949882017,0.17983376710603644
111.0,0.2516994780371606,0.18708624777280658,0.6895306859243308,0.18142893124003023
112.0,0.2531953654884942,0.18737683713250972,0.6875157417550755,0.17857442700025186
113.0,0.2519886092498715,0.1875111095131259,0.6899504659595923,0.18168079926118713
114.0,0.25204291670761386,0.187115348901169,0.6886071698467554,0.1793300310637226
115.0,0.2520717198127524,0.1873469147376135,0.6907900260301153,0.18142893124003023
116.0,0.25184690010266403,0.1867330114618876,0.689614641931383,0.1794979430778272
117.0,0.25196418778170326,0.18752007327905662,0.689026949882017,0.17672739484510117
118.0,0.250427366776767,0.18909304628253293,0.6896985979384354,0.1769792628662581
119.0,0.25222529799068877,0.1870176308091607,0.6886071698467554,0.1776509109226765
120.0,0.25068708120320365,0.18645170730333888,0.6897825539454877,0.18008563512719336
121.0,0.2519506294614632,0.1862749838802018,0.6914616740865337,0.179162119049618
122.0,0.2543090070743183,0.18716102837265194,0.68877508186086,0.17991772311308873
123.0,0.25432579541985006,0.18732016075168867,0.6903702459948537,0.18335991940223323
124.0,0.25167631134659807,0.1871284385235301,0.6902023339807491,0.18033750314835026
125.0,0.2505115875193178,0.1863272835506559,0.689614641931383,0.179162119049618
126.0,0.2510429658474224,0.18649502999685882,0.6899504659595923,0.17974981109898414
127.0,0.2522092238049815,0.1858140613848392,0.6902862899878015,0.1789942070355134
128.0,0.25382398115318533,0.18626541750235498,0.6891109058890692,0.17790277894383344
129.0,0.25167269404624454,0.1859089079726684,0.6897825539454877,0.18067332717655948
130.0,0.25243790191123233,0.18660036360934262,0.68877508186086,0.18050541516245489
131.0,0.2520354635523725,0.1857699658401106,0.6899504659595923,0.17991772311308873
132.0,0.25515651172689263,0.18705126911154044,0.6880194777973893,0.17798673495088574
133.0,0.2515277484358833,0.18609458747283206,0.6903702459948537,0.17605574678868274
134.0,0.25215775075552094,0.1852882305022081,0.6896985979384354,0.17983376710603644
135.0,0.2521234479696922,0.1855572950313558,0.6881873898114939,0.18235244731760558
136.0,0.2534749327779026,0.18577096503233892,0.6906221140160107,0.1794979430778272
137.0,0.2498271839813445,0.18617904043629993,0.6901183779736969,0.18067332717655948
138.0,0.2517025284653656,0.185480391290644,0.6914616740865337,0.17983376710603644
139.0,0.2518519981463303,0.18610920574841017,0.6891948618961216,0.17496431869700277
140.0,0.25342437712754484,0.18569339852710984,0.6899504659595923,0.1777348669297288
141.0,0.25091897359163373,0.18518269732350537,0.6910418940512723,0.1795818990848795
