Epochs,val_class_mae,val_class_percent_2buckRange,val_class_mse,acc
1.0,0.23362663635708364,0.7163966081773151,0.14137854947219938,0.2046007891864663
2.0,0.22998403874845572,0.7200067164805641,0.14418575573744177,0.20594408529930316
3.0,0.23182441375385893,0.7148854000503736,0.14086652622746537,0.20325749307362942
4.0,0.2310648364810977,0.7192511124170935,0.13885114157132802,0.20837880950382
5.0,0.2287198865796985,0.7184955083536227,0.1409057746275017,0.2046007891864663
6.0,0.2323164745168195,0.7194190244311981,0.14005864651354683,0.20560826127109394
7.0,0.2287665703526653,0.7215179246075056,0.13693534317069445,0.20611199731340776
8.0,0.22726464458200876,0.7242045168331794,0.13705296447260856,0.2104777096801276
9.0,0.23111843462305018,0.7226093526991856,0.14040462223711447,0.20577617328519857
10.0,0.22903087875042583,0.721350012593401,0.13646218733867202,0.20745529342624464
