Epochs,val_class_mae,val_class_percent_2buckRange,val_class_percent_2buckRange,acc
1.0,0.31604042649269104,0.12903225421905518,0.13344433903694153,0.032258063554763794
2.0,0.3159979581832886,0.12903225421905518,0.13340644538402557,0.032258063554763794
3.0,0.3159562945365906,0.12903225421905518,0.1333688348531723,0.032258063554763794
4.0,0.31591278314590454,0.12903225421905518,0.13333001732826233,0.032258063554763794
5.0,0.31586936116218567,0.12903225421905518,0.13329137861728668,0.032258063554763794
6.0,0.3158252239227295,0.12903225421905518,0.13325223326683044,0.032258063554763794
7.0,0.31578299403190613,0.12903225421905518,0.13321472704410553,0.032258063554763794
8.0,0.3157418668270111,0.12903225421905518,0.13317757844924927,0.032258063554763794
9.0,0.3156983554363251,0.12903225421905518,0.13313856720924377,0.032258063554763794
10.0,0.3156554698944092,0.12903225421905518,0.13310004770755768,0.032258063554763794
11.0,0.31561487913131714,0.12903225421905518,0.13306330144405365,0.032258063554763794
12.0,0.3155765235424042,0.12903225421905518,0.13302788138389587,0.032258063554763794
13.0,0.3155379891395569,0.12903225421905518,0.13299253582954407,0.032258063554763794
14.0,0.31549927592277527,0.12903225421905518,0.1329570859670639,0.032258063554763794
15.0,0.31546100974082947,0.12903225421905518,0.13292177021503448,0.032258063554763794
