Epochs,val_mean_absolute_error,val_mean_squared_error,val_loss,acc
1.0,0.2282129988148114,0.1382304247993835,0.2282129988148114,0.2282129988148114
2.0,0.22752039846720618,0.14914250163665277,0.22752039846720618,0.22752039846720618
3.0,0.22404045326945343,0.13979471746674813,0.22404045326945343,0.22404045326945343
4.0,0.22129504911675982,0.13483911997279516,0.22129504911675982,0.22129504911675982
5.0,0.22710224342540353,0.1522724788356674,0.22710224342540353,0.22710224342540353
6.0,0.2225623189522251,0.14509324487741282,0.2225623189522251,0.2225623189522251
7.0,0.2141952466608425,0.13609725340729187,0.2141952466608425,0.2141952466608425
8.0,0.21410517348129035,0.13379342030462035,0.21410517348129035,0.21410517348129035
9.0,0.21995029378103456,0.1425578893169269,0.21995029378103456,0.21995029378103456
10.0,0.21678800937831377,0.13690427744726863,0.21678800937831377,0.21678800937831377
11.0,0.22222249049372142,0.14636541238465445,0.22222249049372142,0.22222249049372142
12.0,0.21274315281275008,0.134285524563809,0.21274315281275008,0.21274315281275008
13.0,0.2185078919904677,0.14003659450515432,0.2185078919904677,0.2185078919904677
14.0,0.21483294500550798,0.13589659491360773,0.21483294500550798,0.21483294500550798
15.0,0.2223543790313321,0.14534127733017052,0.2223543790313321,0.2223543790313321
16.0,0.22291455700669519,0.14697852092594516,0.22291455700669519,0.22291455700669519
17.0,0.22140511417256806,0.14510637718657785,0.22140511417256806,0.22140511417256806
18.0,0.21840169780621269,0.14416415676012936,0.21840169780621269,0.21840169780621269
19.0,0.21723610858314335,0.13509873238801656,0.21723610858314335,0.21723610858314335
20.0,0.2182204170072322,0.14449266922853224,0.2182204170072322,0.2182204170072322
21.0,0.2118363567763157,0.1347400045363121,0.2118363567763157,0.2118363567763157
22.0,0.23345815941745193,0.15130604894387814,0.23345815941745193,0.23345815941745193
23.0,0.22051998229773817,0.146142283476587,0.22051998229773817,0.22051998229773817
24.0,0.2146603417615728,0.14114973338665043,0.2146603417615728,0.2146603417615728
25.0,0.21565491702692524,0.13734216570613986,0.21565491702692524,0.21565491702692524
26.0,0.22584822356085385,0.1387282176503566,0.22584822356085385,0.22584822356085385
27.0,0.21920432827803163,0.14101151766975004,0.21920432827803163,0.21920432827803163
28.0,0.21458787425830816,0.1407014129381718,0.21458787425830816,0.21458787425830816
29.0,0.21612986482147525,0.1424212420132346,0.21612986482147525,0.21612986482147525
