Epochs,val_mean_absolute_error,val_mean_squared_error,val_loss,acc
1.0,0.20652884278571854,0.12502136500180894,0.20652884278571854,0.20652884278571854
2.0,0.20321274980691245,0.12115048070606863,0.20321274980691245,0.20321274980691245
3.0,0.20373309309892315,0.12369927060915856,0.20373309309892315,0.20373309309892315
4.0,0.2193060829571178,0.1460864939513039,0.2193060829571178,0.2193060829571178
5.0,0.20620692901838117,0.12161008976121541,0.20620692901838117,0.20620692901838117
6.0,0.20481227245611844,0.12434387150922016,0.20481227245611844,0.20481227245611844
7.0,0.2065760346431194,0.12364389059620874,0.2065760346431194,0.2065760346431194
8.0,0.2044208541558778,0.11990641881052247,0.2044208541558778,0.2044208541558778
9.0,0.20786625359292776,0.12643034886980065,0.20786625359292776,0.20786625359292776
10.0,0.205419764984826,0.12191333420822997,0.205419764984826,0.205419764984826
11.0,0.20546791497901007,0.1226794088251364,0.20546791497901007,0.20546791497901007
12.0,0.2049093092356608,0.12455350145773907,0.2049093092356608,0.2049093092356608
13.0,0.20618014094531512,0.1249096891712596,0.20618014094531512,0.20618014094531512
14.0,0.21013387206489278,0.13064836652142686,0.21013387206489278,0.21013387206489278
15.0,0.20341477506647743,0.11990658011487305,0.20341477506647743,0.20341477506647743
16.0,0.21280001084486871,0.13269485638262432,0.21280001084486871,0.21280001084486871
17.0,0.21087143053066498,0.1298933051293227,0.21087143053066498,0.21087143053066498
18.0,0.20407799510569088,0.12239081900460165,0.20407799510569088,0.20407799510569088
19.0,0.20528522697296522,0.1219255383180467,0.20528522697296522,0.20528522697296522
20.0,0.20540940532250165,0.1248519789393428,0.20540940532250165,0.20540940532250165
21.0,0.20377749150590607,0.1225748181326815,0.20377749150590607,0.20377749150590607
22.0,0.20443346161414389,0.12205344531192516,0.20443346161414389,0.20443346161414389
23.0,0.2041414722683908,0.12302591800614635,0.2041414722683908,0.2041414722683908
24.0,0.20264798288441016,0.12074815072497676,0.20264798288441016,0.20264798288441016
25.0,0.21186078184498275,0.13104538795102025,0.21186078184498275,0.21186078184498275
26.0,0.20620826829511626,0.12301608258483793,0.20620826829511626,0.20620826829511626
27.0,0.2071962958643853,0.12180814463196409,0.2071962958643853,0.2071962958643853
28.0,0.20504147446622936,0.12295075944899993,0.20504147446622936,0.20504147446622936
29.0,0.21280047178753836,0.1256399038922936,0.21280047178753836,0.21280047178753836
30.0,0.20326968638695375,0.12061255771440639,0.20326968638695375,0.20326968638695375
31.0,0.2097384200449625,0.13274534630949097,0.2097384200449625,0.2097384200449625
32.0,0.20331614894066677,0.12270164951255486,0.20331614894066677,0.20331614894066677
33.0,0.2092790407724519,0.13077676302364236,0.2092790407724519,0.2092790407724519
34.0,0.20574107060063326,0.11880794037660457,0.20574107060063326,0.20574107060063326
35.0,0.20759863717491345,0.1211260016124041,0.20759863717491345,0.20759863717491345
