Epochs,val_class_mae,val_class_percent_2buckRange,val_class_percent_2buckRange,acc
1.0,0.3430703580379486,0.2222222238779068,0.1551232784986496,0.0
2.0,0.3430534601211548,0.2222222238779068,0.1551029086112976,0.0
3.0,0.3430359363555908,0.2222222238779068,0.15508225560188293,0.0
4.0,0.3430175483226776,0.2222222238779068,0.1550605148077011,0.0
5.0,0.3430018126964569,0.2222222238779068,0.15504103899002075,0.0
6.0,0.3429863452911377,0.2222222238779068,0.15502199530601501,0.0
7.0,0.3429710268974304,0.2222222238779068,0.15500271320343018,0.0
8.0,0.3429552912712097,0.2222222238779068,0.15498286485671997,0.0
9.0,0.34293848276138306,0.2222222238779068,0.1549621820449829,0.0
10.0,0.34292182326316833,0.2222222238779068,0.1549413651227951,0.0
