model type,model filename,plot filename,data filename,epochs,runtime,dev accuracy,train accuracy,learning_rate,speed_bucket_size,loss_function,input_num_timestamps,label_window_size,evaluation_metric
FCN,TESTINGTESTING,na,../datasets/SAMPLE_TimeSeries_Longest1000Runs_wAnthro_MultiLabeledSpeed_20180523.csv,20,0.0,0.0,0.0,0.0001,0.1,categorical_crossentropy,10,5,
FCN,TESTINGTESTING,na,../datasets/SAMPLE_TimeSeries_Longest1000Runs_wAnthro_MultiLabeledSpeed_20180523.csv,20,53.66615891456604,0.7453787195134314,0.8005725186289722,0.0001,0.1,categorical_crossentropy,10,5,class_percent_2buckRange
