activations_strategy,batch_size,data filename,dev accuracy 1,dev accuracy 2,dev accuracy 3,dropout_rates,epochs,evaluation_metric_1,evaluation_metric_2,evaluation_metric_3,input_num_timestamps,label_window_size,learning_rate,loss_function,model filename,model type,num_layers,plot filename,runtime,speed_bucket_size,train accuracy 1,train accuracy 2,train accuracy 3,train accuracy 4
r-r-r-r-r-r,128,../datasets/TimeSeries_InputVector_15runs.csv,0.0,0.0,0.0,1-1-1-.8-.8-.8,4,,,,11,5,0.0001,categorical_crossentropy,test15,FCN,6,na,0.0,0.1,0.0,0.0,,0.0
r-r-r-r-r-r,128,../datasets/TimeSeries_InputVector_15runs.csv,0.6743280094190939,0.27596551005158576,0.14174562666810436,1-1-1-.8-.8-.8,4,class_percent_2buckRange,class_mae,class_mse,11,5,0.0001,categorical_crossentropy,test15,FCN,6,na,29.654327869415283,0.1,0.532380448198411,0.3171345540428364,0.18380560959292105,
r-r-r-r-r-r,128,../datasets/TimeSeries_InputVector_15runs.csv,0.8309310479390747,0.14493408277311534,0.052384333643680614,1-1-1-.8-.8-.8,400,class_percent_2buckRange,class_mae,class_mse,11,5,0.0001,categorical_crossentropy,test15,FCN,6,na,2402.3755614757542,0.1,0.8991529910005294,0.11863690003087456,0.04333975961626112,
r-r-r-r-r-r,128,C:/Users/adam/Documents/CS 230/Project/TimeSeries_InputVector_100runs.csv,0.8466866047677328,0.14218260475674632,,1-1-.8-.8-.8-1,500,class_percent_2buckRange,class_mae,class_mse,11,5,0.0001,categorical_crossentropy,Final_v3,FCN,6,na,13637.931247234344,0.1,0.8655136515936181,0.14481254994928155,,
