model type,model filename,plot filename,epochs,runtime,dev accuracy,train accuracy,batch_size,kernel_size,depth,num_hidden,max_pool_kernel_size,learning_rate,speed_bucket_size,loss_function,input_num_timestamps
cnn,L2CNN.5-EC2,na,20000,0.0,0.0,0.0,200,6,40,10,6,1e-05,0.5,L2_loss,36
cnn,L2CNN.5-EC2,1528204711.3022418User-cac20da1b364,20000,67761.91956472397,0.7565543055534363,0.9155997633934021,200,6,40,10,6,1e-05,0.5,L2_loss,36
