model type,model filename,plot filename,data filename,loss function,optimizer,activation_1,activation_2,last_train_accuracy_1_bucket,last_dev_accuracy_1_bucket,last_train_accuracy_2_buckets,last_dev_accuracy_2_buckets,last_train_MSE,last_dev_MSE,last_train_MAE,last_dev_MAE,last_train_MAPE,last_dev_MAPE,epochs,runtime,dev accuracy,train accuracy,batch_size,kernel_size,depth,num_hidden,max_pool_kernel_size,learning_rate,speed_bucket_size,loss_function,input_num_timestamps,checkin_frequency,plot_note,model_loaded,results_file_name,num_channels,label_window_size,sample_stride
cnn,yo,plot_filename,../datasets/tiny-test.csv,cross_entropy,gradient,relu,relu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,10,6,40,10,6,0.0001,0.1,cross_entropy,36,10,,none,ttt,11,5,1
cnn,yo,1528418471.5079813User-c093bc1f1657,../datasets/tiny-test.csv,cross_entropy,gradient,relu,relu,0.4510278105735779,0.488571435213089,0.6723095774650574,0.6971428394317627,0.10116370767354965,0.1051013395190239,0.2539275884628296,0.2564408779144287,0.2539275884628296,0.2564408779144287,10,27.318045377731323,0.18000000715255737,0.16807739436626434,10,6,40,10,6,0.0001,0.1,cross_entropy,36,10,,,ttt,11,5,1
