model type,model filename,plot filename,data filename,epochs,runtime,dev accuracy,train accuracy,batch_size,kernel_size,depth,num_hidden,max_pool_kernel_size,learning_rate,speed_bucket_size,loss_function,input_num_timestamps
cnn,new-optimizers,na,../datasets/tiny-test.csv,1000,0.0,0.0,0.0,10,6,40,10,6,0.0001,0.1,cross_entropy,36
cnn,new-optimizer,1528163460.731402User-8694782d23bd,../datasets/tiny-test.csv,1000,156.11600637435913,0.42105263471603394,0.7027027010917664,10,6,40,10,6,0.0001,0.1,cross_entropy,36
