activations_strategy,batch_size,data filename,dev accuracy 1,dev accuracy 2,dev accuracy 3,dropout_rates,epochs,evaluation_metric_1,evaluation_metric_2,evaluation_metric_3,input_num_timestamps,label_window_size,learning_rate,loss_function,model filename,model type,num_layers,plot filename,runtime,speed_bucket_size,train accuracy 1,train accuracy 2,train accuracy 3,train accuracy 4
r-r-r-r-r-r,128,C:/Users/adam/Documents/CS 230/Project/TimeSeries_InputVector_100runs.csv,0.0,0.0,0.0,1-1-1-.8-.8-.8,5,,,,11,5,0.0001,categorical_crossentropy,TestBeforeBranch,FCN,6,na,0.0,0.1,0.0,0.0,,0.0
r-r-r-r-r-r,128,C:/Users/adam/Documents/CS 230/Project/TimeSeries_InputVector_100runs.csv,0.7687690028729234,0.18283585361701307,0.08510300116062425,1-1-1-.8-.8-.8,5,class_percent_2buckRange,class_mae,class_mse,11,5,0.0001,categorical_crossentropy,TestBeforeBranch,FCN,6,na,212.88746571540833,0.1,0.71592461554838,0.22829102994579523,0.14509007203716545,
