model type,model filename,plot filename,data filename,loss function,optimizer,activation_1,activation_2,last_train_accuracy_1_bucket,last_dev_accuracy_1_bucket,last_train_accuracy_2_buckets,last_dev_accuracy_2_buckets,last_train_MSE,last_dev_MSE,last_train_MAE,last_dev_MAE,last_train_MAPE,last_dev_MAPE,epochs,runtime,dev accuracy,train accuracy,batch_size,kernel_size,depth,num_hidden,max_pool_kernel_size,learning_rate,speed_bucket_size,loss_function,input_num_timestamps,checkin_frequency,plot_note,model_loaded,results_file_name,num_channels,label_window_size,sample_stride
cnn,BIGTEST,plot_filename,../datasets/big-mod.csv,cross_entropy,gradient,relu,tanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,50,6,40,150,6,0.0001,0.1,cross_entropy,36,10,,none,BIGTEST,11,30,18
cnn,BIGTEST,1528591851.4617107User-26fd628ee10d,../datasets/big-mod.csv,cross_entropy,gradient,relu,tanh,0.6988224387168884,0.6498776078224182,0.855143129825592,0.8177684545516968,0.07428625226020813,0.07122810184955597,0.1603298932313919,0.16692519187927246,0.1603298932313919,0.16692519187927246,100,2319.74361038208,0.27037426829338074,0.3330733776092529,50,6,40,150,6,0.0001,0.1,cross_entropy,36,10,,,BIGTEST,11,30,18
cnn,BIGTEST,1528649188.5726278User-26fd628ee10d,../datasets/big-mod.csv,cross_entropy,gradient,relu,tanh,0.7918583750724792,0.6743616461753845,0.9069640636444092,0.8387548327445984,0.03445246070623398,0.06092020124197006,0.10824283957481384,0.14783766865730286,0.10824283957481384,0.14783766865730286,2000,33137.400893211365,0.28576424717903137,0.4361693859100342,50,6,40,150,6,0.0001,0.1,cross_entropy,36,10,,,BIGTEST,11,30,18
cnn,BIGTEST2,1528661660.6607964User-26fd628ee10d,../datasets/big-mod.csv,cross_entropy,gradient,relu,tanh,0.6926031112670898,0.6418328285217285,0.8561959266662598,0.816719114780426,0.0721883699297905,0.08240964263677597,0.15611328184604645,0.17051346600055695,0.15611328184604645,0.17051346600055695,500,9852.164128780365,0.26442810893058777,0.31500038504600525,50,6,40,50,6,0.0001,0.1,cross_entropy,36,10,,,BIGTEST,11,30,18
