activity_id,user_id,metric_utc_unix,gender,age,height,weight,bounce,braking,cadence,ground_contact,pelvic_drop,pelvic_rotation,pelvic_tilt,gps_speed_true,gps_speed_round_unit,gps_speed_round_half_unit,gps_speed_round_1dec,gps_speed_round_2dec
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948134,-1,43,167,57,84,52,177,236,83,107,68,2.68388888889,3,2.5,2.7,2.68
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948137,-1,43,167,57,83.8333333333,50.8333333333,178,239.166666667,80.8333333333,117.333333333,68.3333333333,3.19819444445,3,3,3.2,3.2
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948140,-1,43,167,57,83,50,178,240,75,114,70,3.1894,3,3,3.2,3.19
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948143,-1,43,167,57,80.375,46.5,178,240.875,77.625,129.75,74.375,2.97758333333,3,3,3,2.98
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948146,-1,43,167,57,82,47,176,245,81,122,76,2.35866666667,2,2.5,2.4,2.36
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948149,-1,43,167,57,81.5,47,175.5,246,78.5,121.5,75,2.005,2,2,2,2.01
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948152,-1,43,167,57,81,47,175,247,76,121,74,2.22555555556,2,2,2.2,2.23
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948155,-1,43,167,57,83.875,47.125,174.125,247.75,80.625,115.625,76,2.61152777778,3,2.5,2.6,2.61
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948158,-1,43,167,57,83,48,175,246,78,134,76,2.56906666667,3,2.5,2.6,2.57
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948161,-1,43,167,57,83,48,175,247.666666667,78.8333333333,120.666666667,73.5,2.46894444444,2,2.5,2.5,2.47
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948164,-1,43,167,57,83,49,175,245,80,109,72,2.22355555555,2,2,2.2,2.22
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948167,-1,43,167,57,83.75,48.25,174.25,246.5,80,107.5,75,2.11055555555,2,2,2.1,2.11
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948170,-1,43,167,57,85,48,175,249,79,131,74,2.21944444445,2,2,2.2,2.22
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948173,-1,43,167,57,84.75,48,175,249.25,79.25,129.5,74.25,2.24666666667,2,2,2.2,2.25
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948176,-1,43,167,57,84,48,175,250,80,125,75,1.92,2,2,1.9,1.92
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948179,-1,43,167,57,83,46,174,249,79,212,83,1.59333333333,2,1.5,1.6,1.59
