1.54462E+12,1483650651,93,21,155,259,68,242,127,1.096666667,1,1,1.1,1.1
1.54462E+12,1483650657,102,23,152.25,275.5,64.5,152.125,140.875,1.346266667,1,1.5,1.3,1.35
1.54462E+12,1483650681,94,22,152,278,57,215,126,1.237222222,1,1,1.2,1.24
1.54462E+12,1483650684,90,20,152,277,48,113,120,1.461666667,1,1.5,1.5,1.46
1.54462E+12,1483650756,94.625,22.875,152,272.875,51.625,116.875,127.5,1.116083333,1,1,1.1,1.12
1.54462E+12,1483650759,85,22,159,258,63,102,124,1.170833333,1,1,1.2,1.17
1.54462E+12,1483650762,87,23,157,258,62,102,121,1.236666667,1,1,1.2,1.24
1.54462E+12,1483650768,81.75,24.75,156,272.25,59,109,113.25,1.67,2,1.5,1.7,1.67
1.54462E+12,1483650786,123,47,143,321,115,133,186,1.937222222,2,2,1.9,1.94
1.54462E+12,1483650840,100,22,154,258,89,110,142,1.526,2,1.5,1.5,1.53
1.54462E+12,1483650948,99,21,166.75,228.75,101.5,141.25,159.5,1.606,2,1.5,1.6,1.61
1.54462E+12,1483650954,99.5,23,165.75,230.25,104.25,130,153,1.382944444,1,1.5,1.4,1.38
1.54462E+12,1483650981,97,24,169,222,101,116,161,1.819444444,2,2,1.8,1.82
1.54462E+12,1483650993,96,23,172,217,119,131,176,1.9715,2,2,2,1.97
1.54462E+12,1483651041,118.625,24.625,166.375,217.125,117.625,138,196.75,2.1488,2,2,2.1,2.15
1.54462E+12,1483651080,117.25,29.25,167,208.75,118,137.5,196.25,2.496111111,2,2.5,2.5,2.5
1.54462E+12,1483651113,103,25,167,225,108,122,170,2.128333333,2,2,2.1,2.13
1.54462E+12,1483651143,106,26,166,227,112,130,167,1.9616,2,2,2,1.96
1.54462E+12,1483651203,121.75,30.5,162.75,224.25,112.25,149,195.25,2.268,2,2.5,2.3,2.27
1.54462E+12,1483651218,131.375,39.625,148.875,259.75,123,150.75,205,2.269722222,2,2.5,2.3,2.27
1.54462E+12,1483651221,120,23,162,223,116,156,198,2.186666667,2,2,2.2,2.19
1.54462E+12,1483651308,127,31,163,216,118,146,212,2.7912,3,3,2.8,2.79
1.54462E+12,1483651332,129,30,163,214,117,142,212,2.6036,3,2.5,2.6,2.6
1.54462E+12,1483651347,128,31,164,210,119,137,206,2.89,3,3,2.9,2.89
1.54462E+12,1483651374,132.75,33.25,160.75,212.25,122.25,156.25,219.75,3.716,4,3.5,3.7,3.72
1.54462E+12,1483651410,121.5,30.25,162.75,225.25,113,164.5,205.25,2.525277778,3,2.5,2.5,2.53
1.54462E+12,1483651413,123,31,162,229,119,160,212,2.685555556,3,2.5,2.7,2.69
1.54462E+12,1483651449,124,29,158,230,109,132,198,4.316666667,4,4.5,4.3,4.32
1.54462E+12,1483651455,120,27.75,159.75,238.25,108.75,131.25,195.25,2.683333333,3,2.5,2.7,2.68
1.54462E+12,1483651470,123,28,157,241,126,146,190,1.943866667,2,2,1.9,1.94
1.54462E+12,1483651509,117,27,158,247,109,142,186,2.230333333,2,2,2.2,2.23
1.54462E+12,1483651533,119,26,157,243.8333333,117.1666667,127.1666667,184.1666667,2.529166667,3,2.5,2.5,2.53
1.54462E+12,1483651578,118.75,28,158,243.25,113,137.25,190.25,1.704,2,1.5,1.7,1.7
1.54462E+12,1483651608,115,26,159,249,115,134,185,2.228666667,2,2,2.2,2.23
1.54462E+12,1483651614,117,29,159,248,111,139,190,2.693333333,3,2.5,2.7,2.69
1.54462E+12,1483651689,130.25,32.75,153.75,247.75,93.25,112.25,187.5,2.76,3,3,2.8,2.76
1.54462E+12,1483651728,128,38,155,235,102,124,198,3.123333333,3,3,3.1,3.12
1.54462E+12,1483651800,137,46,154,201,131,148,217,2.303333333,2,2.5,2.3,2.3
1.54462E+12,1483651890,126,32,158,233,127,139,215,2.5124,3,2.5,2.5,2.51
1.54462E+12,1483651953,133.5,33.5,155.5,226.5,126.5,123,209,2.448333333,2,2.5,2.4,2.45
1.54462E+12,1483652049,128,31,159,233,125,133,214,2.368333333,2,2.5,2.4,2.37
1.54462E+12,1483652109,160.2857143,45.42857143,144.5714286,265,112.7142857,138.2857143,237.1428571,2.833333333,3,3,2.8,2.83
1.54462E+12,1483652112,165,48,142,271,113,139,237,2.840555556,3,3,2.8,2.84
1.54462E+12,1483652154,130,28,157,229,121,124,215,2.866666667,3,3,2.9,2.87
1.54462E+12,1483652226,123.375,30,160,232.5,112.875,130.125,216.125,2.333472222,2,2.5,2.3,2.33
1.54462E+12,1483653087,179,35,139,291,129,149,157,2.17,2,2,2.2,2.17
1.54462E+12,1483653168,139,30,157,218,133,112,260,2.7252,3,2.5,2.7,2.73
1.54462E+12,1483653207,138,28,157,208,124,140,260,2.824133333,3,3,2.8,2.82
1.54462E+12,1483653435,173,32,141,289,140,165,192,2.196333333,2,2,2.2,2.2
1.54462E+12,1483653513,195,42,142,305,129,201,218,2.6524,3,2.5,2.7,2.65
1.54462E+12,1483653558,120,30,160,236,134,154,206,2.697166667,3,2.5,2.7,2.7
1.54462E+12,1483653630,114,26,158,239,118,158,176,2.808888889,3,3,2.8,2.81
1.54462E+12,1483653711,124,27,160,231,111,165,227,2.8456,3,3,2.8,2.85
1.54462E+12,1483653771,125.1666667,28.5,158,215.8333333,114.5,153.8333333,210.5,2.9152,3,3,2.9,2.92
1.54462E+12,1483653849,126.75,31.875,157.75,234,134,178.5,217.75,2.661722222,3,2.5,2.7,2.66
1.54462E+12,1483653885,131,31,156,234,133,143,209,2.290222222,2,2.5,2.3,2.29
1.54462E+12,1483653897,129,32,156,236,138,159,209,2.323333333,2,2.5,2.3,2.32
1.54462E+12,1483653969,130.2777778,27.125,157.125,219.375,120.5,147.75,226.75,2.569,3,2.5,2.6,2.57
1.54462E+12,1483654002,125.125,30.375,153.75,245,126.5,157.875,168.5,2.0083,2,2,2,2.01
1.54462E+12,1483654026,126,30,156,238,135,174,195,2.500888889,3,2.5,2.5,2.5
1.54462E+12,1483654071,130.8571429,30.71428571,155.4285714,224.1428571,131.4285714,161.1428571,211,2.338,2,2.5,2.3,2.34
1.54462E+12,1483654077,132.25,28.5,156,213.25,134.25,161,218.5,2.8355,3,3,2.8,2.84
1.54462E+12,1483654110,130,27,155,234,121,132,196,2.388333333,2,2.5,2.4,2.39
1.54462E+12,1483654116,132.5,26.25,155,236,120.5,132.5,201,2.962,3,3,3,2.96
1.54462E+12,1483654179,111,27,155,259,123,157,166,2.47,2,2.5,2.5,2.47
1.54462E+12,1483654296,129,29.5,156,238,134.5,163,241,2.972,3,3,3,2.97
