model type,model filename,plot filename,data filename,loss function,optimizer,activation_1,activation_2,last_train_accuracy_1_bucket,last_dev_accuracy_1_bucket,last_train_accuracy_2_buckets,last_dev_accuracy_2_buckets,last_train_MSE,last_dev_MSE,last_train_MAE,last_dev_MAE,last_train_MAPE,last_dev_MAPE,epochs,runtime,dev accuracy,train accuracy,batch_size,kernel_size,depth,num_hidden,max_pool_kernel_size,learning_rate,speed_bucket_size,loss_function,input_num_timestamps,checkin_frequency,plot_note,model_loaded,results_file_name,num_channels,label_window_size,sample_stride
cnn,test,plot_filename,../datasets/tiny-test.csv,cross_entropy,gradient,relu,relu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,10,6,40,10,6,0.0001,0.1,cross_entropy,36,10,,none,qqq,11,5,1
cnn,test,1528418805.8877954User-c093bc1f1657,../datasets/tiny-test.csv,cross_entropy,gradient,relu,relu,0.5238814949989319,0.545714259147644,0.75,0.7771428823471069,0.11720329523086548,0.12362395972013474,0.27672746777534485,0.28373152017593384,0.27672746777534485,0.28373152017593384,10,32.33998346328735,0.2199999988079071,0.20495767891407013,10,6,40,10,6,0.0001,0.1,cross_entropy,36,10,,,qqq,11,5,1
