model type,model filename,plot filename,data filename,epochs,runtime,dev accuracy,train accuracy,learning_rate,speed_bucket_size,loss_function,input_num_timestamps,label_window_size,evaluation_metric
FCN,ttttest,na,../datasets/TimeSeries_InputVector_15runs.csv,20,0.0,0.0,0.0,0.0001,0.1,categorical_crossentropy,11,5,
FCN,ttttest,na,../datasets/TimeSeries_InputVector_15runs.csv,20,100.68505549430847,0.754915792279201,0.7974931457161296,0.0001,0.1,categorical_crossentropy,11,5,class_percent_2buckRange
