dev_accuracy_history,dev_accuracy_1_bucket_history,dev_accuracy_2_buckets_history,dev_MSE_history,dev_MAE_history,dev_MAPE_history
1e-323,6.9418617453981e-310,6.9418617453981e-310,6.9418617453997e-310,6.9418617453997e-310,6.9418617453997e-310
0.18501873314380646,0.47191011905670166,0.6651685237884521,0.19185103476047516,0.26997649669647217,0.26997649669647217
0.20823970437049866,0.5086142420768738,0.6883895397186279,0.15999113023281097,0.2466663420200348,0.2466663420200348
0.24344569444656372,0.5385767817497253,0.7235954999923706,0.13087578117847443,0.22664810717105865,0.22664810717105865
0.24719101190567017,0.5677902698516846,0.748314619064331,0.10388361662626266,0.20722031593322754,0.20722031593322754
0.26441946625709534,0.5850187540054321,0.7820224761962891,0.08400362730026245,0.19000962376594543,0.19000962376594543
0.2794007360935211,0.6202247142791748,0.810486912727356,0.07008076459169388,0.17533372342586517,0.17533372342586517
0.2913857698440552,0.6464419364929199,0.8269662857055664,0.060524191707372665,0.16296535730361938,0.16296535730361938
0.3048689067363739,0.6696628928184509,0.8382022380828857,0.053574088960886,0.15308831632137299,0.15308831632137299
0.31460675597190857,0.6801497936248779,0.8494381904602051,0.04865400865674019,0.1451740562915802,0.1451740562915802
0.31685394048690796,0.6928839087486267,0.854681670665741,0.04492209106683731,0.13869932293891907,0.13869932293891907
0.32883894443511963,0.7116104960441589,0.8644194602966309,0.04198750481009483,0.1333352029323578,0.1333352029323578
0.3408239781856537,0.7213482856750488,0.8696629405021667,0.03989461064338684,0.12936994433403015,0.12936994433403015
0.34531834721565247,0.7258427143096924,0.8749063611030579,0.03829547017812729,0.12621553242206573,0.12621553242206573
0.3430711627006531,0.7303370833396912,0.8764045238494873,0.03708713501691818,0.12375693768262863,0.12375693768262863
0.341573029756546,0.7340824007987976,0.8861423134803772,0.03606262058019638,0.12176710367202759,0.12176710367202759
0.34531834721565247,0.7348314523696899,0.8861423134803772,0.03528781235218048,0.12013484537601471,0.12013484537601471
0.34981274604797363,0.7415730357170105,0.888389527797699,0.034648485481739044,0.1188407838344574,0.1188407838344574
0.3543071150779724,0.7513108849525452,0.890636682510376,0.03406992182135582,0.11782485246658325,0.11782485246658325
0.34756553173065186,0.7475655674934387,0.8921348452568054,0.03359432891011238,0.11702185869216919,0.11702185869216919
0.35056179761886597,0.748314619064331,0.890636682510376,0.03311330825090408,0.11627107858657837,0.11627107858657837
0.35280898213386536,0.7438202500343323,0.8898876309394836,0.03265591338276863,0.11562202870845795,0.11562202870845795
0.35280898213386536,0.7423220872879028,0.888389527797699,0.03228744491934776,0.11512871831655502,0.11512871831655502
0.3543071150779724,0.7400749325752258,0.8868913650512695,0.03202227130532265,0.11470793187618256,0.11470793187618256
0.35280898213386536,0.737827718257904,0.8891385793685913,0.03183925896883011,0.11433588713407516,0.11433588713407516
0.3513108491897583,0.7393258213996887,0.8921348452568054,0.031734030693769455,0.11407412588596344,0.11407412588596344
0.3513108491897583,0.7340824007987976,0.8951311111450195,0.031664665788412094,0.1138535737991333,0.1138535737991333
0.3513108491897583,0.7355805039405823,0.8958801627159119,0.03167031332850456,0.11373216658830643,0.11373216658830643
0.3468164801597595,0.7340824007987976,0.8943819999694824,0.03175484761595726,0.11373437196016312,0.11373437196016312
0.3460674285888672,0.7340824007987976,0.8958801627159119,0.0318601056933403,0.11373116075992584,0.11373116075992584
0.3408239781856537,0.7363296151161194,0.8943819999694824,0.03190256282687187,0.11363094300031662,0.11363094300031662
0.3408239781856537,0.7370786666870117,0.8936329483985901,0.031936731189489365,0.1135983094573021,0.1135983094573021
0.33707866072654724,0.737827718257904,0.890636682510376,0.03202623501420021,0.11378870159387589,0.11378870159387589
0.3355805277824402,0.7363296151161194,0.8898876309394836,0.03206820785999298,0.11379309743642807,0.11379309743642807
0.3385767936706543,0.7355805039405823,0.8891385793685913,0.03213246911764145,0.11388400942087173,0.11388400942087173
0.3363295793533325,0.7310861349105835,0.8846442103385925,0.03216003254055977,0.11387813836336136,0.11387813836336136
0.3355805277824402,0.7288389801979065,0.8846442103385925,0.032238129526376724,0.1139424741268158,0.1139424741268158
0.3468164801597595,0.7385767698287964,0.8876404762268066,0.03231324627995491,0.11402639001607895,0.11402639001607895
0.3483146131038666,0.7355805039405823,0.8861423134803772,0.032348956912755966,0.11404519528150558,0.11404519528150558
0.341573029756546,0.7318351864814758,0.8861423134803772,0.03233248367905617,0.11406441777944565,0.11406441777944565
0.3363295793533325,0.7288389801979065,0.8838951587677002,0.03235970064997673,0.11417974531650543,0.11417974531650543
0.3378277122974396,0.7250936627388,0.8838951587677002,0.03242814913392067,0.11439967900514603,0.11439967900514603
0.33707866072654724,0.7258427143096924,0.8816479444503784,0.03225907310843468,0.11428419500589371,0.11428419500589371
0.3333333432674408,0.727340817451477,0.8846442103385925,0.03236621245741844,0.1143568828701973,0.1143568828701973
0.331086128950119,0.7235954999923706,0.8823969960212708,0.032332662492990494,0.11419668793678284,0.11419668793678284
0.3303370773792267,0.7228464484214783,0.8823969960212708,0.03230113536119461,0.11415951699018478,0.11415951699018478
0.3303370773792267,0.7235954999923706,0.8846442103385925,0.03241352736949921,0.11445733159780502,0.11445733159780502
0.32883894443511963,0.7250936627388,0.8846442103385925,0.03226929530501366,0.11436591297388077,0.11436591297388077
0.3250936269760132,0.7191011309623718,0.8823969960212708,0.032578740268945694,0.11536774784326553,0.11536774784326553
0.32659175992012024,0.7198501825332642,0.8831460475921631,0.03226114436984062,0.11444482952356339,0.11444482952356339
0.331086128950119,0.7161048650741577,0.8816479444503784,0.032231125980615616,0.1149485632777214,0.1149485632777214
