activations_strategy,batch_size,data filename,dev accuracy 1,dev accuracy 2,dev accuracy 3,dropout_rates,epochs,evaluation_metric_1,evaluation_metric_2,evaluation_metric_3,input_window_size,label_window_size,learning_rate,loss_function,model filename,model type,num_hidden_fc_layers,plot filename,runtime,speed_bucket_size,train accuracy 1,train accuracy 2,train accuracy 3,train accuracy 4
r-r-r-r-r-r,128,C:/Users/adam/Documents/CS 230/Project/Lumo Data/TimeSeries_InputVector_100runs.csv,0.0,0.0,0.0,1-1-1-.8-.8-.8,5,,,,11,5,0.0001,categorical_crossentropy,20180712_185618,FCN,6,na,0.0,0.1,0.0,0.0,,0.0
r-r-r-r-r-r,128,C:/Users/adam/Documents/CS 230/Project/Lumo Data/TimeSeries_InputVector_100runs.csv,0.17906549656122558,0.7743042020621337,0.07694550375295482,1-1-1-.8-.8-.8,5,class_mae,class_percent_2buckRange,class_mse,11,5,0.0001,categorical_crossentropy,20180712_185618,FCN,6,na,162.23484587669373,0.1,0.227061329403412,0.7166339720460995,0.14267719532452344,
